PAIS,categoria1,categoria2,casos_pond,variable_interes,particip.ocup,categoria
Alemania,Mujer,Priv,17939897.59,SEXO-SECTOR,0.42505286018878424,Mujer-Priv
Alemania,Mujer,Pub,1446008.5375,SEXO-SECTOR,0.034260511334489506,Mujer-Pub
Alemania,Mujer,SD,210778.485,SEXO-SECTOR,0.0049940083250781114,Mujer-SD
Alemania,Mujer,Primaria,2405773.265,SEXO-EDUC,0.05709049489584228,Mujer-Primaria
Alemania,Mujer,Secundaria,12026424.8375,SEXO-EDUC,0.2853945364633207,Mujer-Secundaria
Alemania,Mujer,Terciaria,5130808.2725,SEXO-EDUC,0.12175726937954255,Mujer-Terciaria
Alemania,Mujer,Pequeño,4220259.915,SEXO-TAMA,0.10903294153265337,Mujer-Pequeño
Alemania,Mujer,Mediano,5664851.335,SEXO-TAMA,0.14635482573120817,Mujer-Mediano
Alemania,Mujer,Grande,8286159.5875,SEXO-TAMA,0.21407789378634104,Mujer-Grande
Alemania,Mujer,Baja,1949884.7975,SEXO-CALIF,0.04645935911078432,Mujer-Baja
Alemania,Mujer,Media,8296610.4075,SEXO-CALIF,0.19768101316473444,Mujer-Media
Alemania,Mujer,Alta,9306259.1875,SEXO-CALIF,0.22173763194853482,Mujer-Alta
Alemania,Varon,Priv,21154358.1325,SEXO-SECTOR,0.5012135874559913,Varon-Priv
Alemania,Varon,Pub,1442921.9,SEXO-SECTOR,0.03418737913899289,Varon-Pub
Alemania,Varon,SD,12309.61,SEXO-SECTOR,2.9165355666383494e-4,Varon-SD
Alemania,Varon,Primaria,2839487.7175,SEXO-EDUC,0.06738280843051125,Varon-Primaria
Alemania,Varon,Secundaria,12662066.7675,SEXO-EDUC,0.30047871454784536,Varon-Secundaria
Alemania,Varon,Terciaria,7075085.4925,SEXO-EDUC,0.16789617628293788,Varon-Terciaria
Alemania,Varon,Pequeño,3536298.155,SEXO-TAMA,0.09136237998178957,Varon-Pequeño
Alemania,Varon,Mediano,5434191.415,SEXO-TAMA,0.140395588604154,Varon-Mediano
Alemania,Varon,Grande,11564522.81,SEXO-TAMA,0.29877637036385385,Varon-Grande
Alemania,Varon,Baja,1343728.8225,SEXO-CALIF,0.032016650415491454,Varon-Baja
Alemania,Varon,Media,11376151.3325,SEXO-CALIF,0.27105637252666714,Varon-Media
Alemania,Varon,Alta,9697053.2575,SEXO-CALIF,0.2310489728337878,Varon-Alta
Alemania,Priv,Primaria,5030270.5325,SECTOR-EDUC,0.11937144631973333,Priv-Primaria
Alemania,Priv,Secundaria,22940755.375,SECTOR-EDUC,0.54439838396126,Priv-Secundaria
Alemania,Priv,Terciaria,11059917.87,SECTOR-EDUC,0.2624587253885165,Priv-Terciaria
Alemania,Priv,Pequeño,7463985.0975,SECTOR-TAMA,0.19283652360930797,Priv-Pequeño
Alemania,Priv,Mediano,10669637.7925,SECTOR-TAMA,0.27565648017777156,Priv-Mediano
Alemania,Priv,Grande,17705930.3475,SECTOR-TAMA,0.4574433108962201,Priv-Grande
Alemania,Priv,Baja,3051092.925,SECTOR-CALIF,0.07269753683124877,Priv-Baja
Alemania,Priv,Media,18906561.575,SECTOR-CALIF,0.4504813488926547,Priv-Media
Alemania,Priv,Alta,17082341.135,SECTOR-CALIF,0.4070161592425503,Priv-Alta
Alemania,Pub,Primaria,152863.905,SECTOR-EDUC,0.0036275554787832506,Pub-Primaria
Alemania,Pub,Secundaria,1608069.24,SECTOR-EDUC,0.03816048256666489,Pub-Secundaria
Alemania,Pub,Terciaria,1125727.2875,SECTOR-EDUC,0.02671420823239098,Pub-Terciaria
Alemania,Pub,Pequeño,102058.1675,SECTOR-TAMA,0.0026367338585963,Pub-Pequeño
Alemania,Pub,Mediano,422900.565,SECTOR-TAMA,0.010925889283236498,Pub-Mediano
Alemania,Pub,Grande,2141421.885,SECTOR-TAMA,0.0553249164474623,Pub-Grande
Alemania,Pub,Baja,107539.065,SECTOR-CALIF,0.002562303191285318,Pub-Baja
Alemania,Pub,Media,690302.4125,SECTOR-CALIF,0.016447642300969456,Pub-Media
Alemania,Pub,Alta,1908894.13,SECTOR-CALIF,0.045482685953470124,Pub-Alta
Alemania,SD,Primaria,62126.545,SECTOR-EDUC,0.0014743015278369618,SD-Primaria
Alemania,SD,Secundaria,139666.99,SECTOR-EDUC,0.003314384483241256,SD-Secundaria
Alemania,SD,Terciaria,20248.6075,SECTOR-EDUC,4.805120415729051e-4,SD-Terciaria
