PAIS,categoria,tasa_part,tasa_seg,tasa_reg,tasa_temp,variable_interes
Alemania,Mujer,0.0462560844090328,NA,NA,0.02026742964913692,SEXO
Alemania,Varon,0.01708061569689818,NA,NA,0.01757988942648845,SEXO
Argentina,Mujer,0.17214354229635712,0.37083866366045243,0.37083866366045243,0.10448800881476031,SEXO
Argentina,Varon,0.09596018136005989,0.33439424544073437,0.33439424544073437,0.12883366866640722,SEXO
Austria,Mujer,0.04493816852948139,NA,NA,0.010279067919325827,SEXO
Austria,Varon,0.016892634386631845,NA,NA,0.00800450741689619,SEXO
Bolivia,Mujer,0.07122263027142796,0.46672630034682033,0.42688250550927326,0.2160276496644044,SEXO
Bolivia,Varon,0.028869436834067022,0.4547778951748239,0.5313324926043695,0.1930205543132489,SEXO
Brasil,Mujer,0.07417243145192869,0.2378403060123718,0.21793463131107416,NA,SEXO
Brasil,Varon,0.044728038565895356,0.22273134798587502,0.2840662457115556,NA,SEXO
Bulgaria,Mujer,0.009762010410802564,NA,NA,0.021376317827101598,SEXO
Bulgaria,Varon,0.007658166244727291,NA,NA,0.029502905092869295,SEXO
Chile,Mujer,0.07754105605087006,0.18050332506593267,0.13541195436603487,0.2432530684359888,SEXO
Chile,Varon,0.04170945164193301,0.15783127749237094,0.11951471942370286,0.28358285744523865,SEXO
China,Mujer,NA,0.3881125540670813,0.2702964755395065,0.5362775588841924,SEXO
China,Varon,NA,0.38244959131939926,0.27986069773774663,0.5064289151291258,SEXO
Colombia,Mujer,0.05156986244565674,0.3421781808603787,0.3343287758597477,0.305562118510197,SEXO
Colombia,Varon,0.023707600227341252,0.28441492513719285,0.29376531647579224,0.26699909863456994,SEXO
Costa Rica,Mujer,0.11895087821587348,0.2751753248060129,0.2751753248060129,0.034893593761387655,SEXO
Costa Rica,Varon,0.05696132109688728,0.2069414827167452,0.2069414827167452,0.046317289254383116,SEXO
Dinamarca,Mujer,0.04548285603094332,NA,NA,0.05157288988173829,SEXO
Dinamarca,Varon,0.01751696503954619,NA,NA,0.03218310292240066,SEXO
Ecuador,Mujer,0.3112515521042081,0.7971721032144736,NA,NA,SEXO
Ecuador,Varon,0.3658619210670463,0.8818007369949256,NA,NA,SEXO
El Salvador,Mujer,0.36046454436873854,0.43326554548677154,0.4501612201251554,0.4916744129917765,SEXO
El Salvador,Varon,0.2587941806454862,0.4151473256902841,0.4893459191098318,0.5378838622765806,SEXO
España,Mujer,0.14363716908532126,NA,NA,0.22231687985028822,SEXO
España,Varon,0.048012941658603515,NA,NA,0.20320379637776734,SEXO
Estados Unidos,Mujer,0.10266959375946119,NA,NA,NA,SEXO
