PAIS,categoria,casos_pond,variable_interes,particip.ocup
Alemania,Mujer,19596684.6125,SEXO,0.46430737984835196
Alemania,Varon,22609589.6425,SEXO,0.5356926201516481
Argentina,Mujer,20982945,SEXO,0.43538200716217
Argentina,Varon,27211387,SEXO,0.56461799283783
Austria,Mujer,2023470.24,SEXO,0.4665394689445723
Austria,Varon,2313719.59,SEXO,0.5334605310554276
Bolivia,Mujer,6696917.051017157,SEXO,0.4486421262626538
Bolivia,Varon,8230163.263096062,SEXO,0.5513578737373461
Brasil,Mujer,164152342.8334264,SEXO,0.4394298963746844
Brasil,Varon,209405178.37232295,SEXO,0.5605701036253157
Bulgaria,Mujer,1467340.45,SEXO,0.46542905093537895
Bulgaria,Varon,1685321.48,SEXO,0.5345709490646211
Chile,Mujer,3513602.8794190404,SEXO,0.4314975823801861
Chile,Varon,4629207.237934657,SEXO,0.5685024176198138
China,Mujer,43389396.22313673,SEXO,0.4274969050214196
China,Varon,58107002.26181303,SEXO,0.5725030949785803
Colombia,Mujer,93707442.70207399,SEXO,0.44547448794306566
Colombia,Varon,116646786.86280824,SEXO,0.5545255120569345
Costa Rica,Mujer,665395,SEXO,0.419825317537082
Costa Rica,Varon,919538,SEXO,0.580174682462918
Dinamarca,Mujer,1353439.9975,SEXO,0.4717420490044867
Dinamarca,Varon,1515585.565,SEXO,0.5282579509955133
Ecuador,Mujer,5487626.9671000065,SEXO,0.48483409732013655
Ecuador,Varon,5830939.522823494,SEXO,0.5151659026798635
El Salvador,Mujer,875355.7597606521,SEXO,0.45475444666301723
El Salvador,Varon,1049541.8771596735,SEXO,0.5452455533369828
España,Mujer,8795738.37,SEXO,0.4550845692289601
España,Varon,10531962.38,SEXO,0.5449154307710399
Estados Unidos,Mujer,79493324.52,SEXO,0.4741388521669089
Estados Unidos,Varon,88164997.84,SEXO,0.525861147833091
Francia,Mujer,13175308.92,SEXO,0.4860457375144636
Francia,Varon,13931829.16,SEXO,0.5139542624855364
Grecia,Mujer,1589805.875,SEXO,0.4153074986269325
Grecia,Varon,2238215.2425,SEXO,0.5846925013730675
Guatemala,Mujer,2829220,SEXO,0.38122934410340387
Guatemala,Varon,4592087,SEXO,0.6187706558965961
Italia,Mujer,9768306.175,SEXO,0.4207765592915777
Italia,Varon,13446642.375,SEXO,0.5792234407084224
México,Mujer,17646244,SEXO,0.40754557213840265
México,Varon,25652580,SEXO,0.5924544278615973
Noruega,Mujer,1267602.18,SEXO,0.47067374893045916
Noruega,Varon,1425563.06,SEXO,0.5293262510695408
Paraguay,Mujer,3857619,SEXO,0.4424447336765582
Paraguay,Varon,4861253,SEXO,0.5575552663234419
Países Bajos,Mujer,4093958.3,SEXO,0.465387730869877
Países Bajos,Varon,4702918,SEXO,0.5346122691301228
Peru,Mujer,24256967.020238876,SEXO,0.4418684324464875
Peru,Varon,30639389.539870262,SEXO,0.5581315675535125
Polonia,Mujer,7406933.7525,SEXO,0.44934011318606515
Polonia,Varon,9077091.455,SEXO,0.550659886813935
Portugal,Mujer,2380836.2725,SEXO,0.489212848936156
Portugal,Varon,2485831.2275,SEXO,0.510787151063844
Reino Unido,Mujer,15247781.36,SEXO,0.46998636084215645
